stage2 fold=3 gpu=3 started 2026-05-09T01:05:16+02:00
fold = 3
device = cuda
stage1_checkpoint = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_20260508/stage1/fold3/best_stage1.pt
defect_train_count = 159
defect_val_count = 52
normal_train_count = 45
normal_val_count = 14
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_e50_bs48_20260509/stage2/fold3
epoch 35/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641958 | defect_dice=0.707925 | defect_iou=0.581285 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=8 | stage2_score=0.707925 | lr_encoder=2.500000e-06 | lr_decoder=1.250000e-05
epoch 36/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641751 | defect_dice=0.708561 | defect_iou=0.581202 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=0 | stage2_score=0.708561 | lr_encoder=2.500000e-06 | lr_decoder=1.250000e-05
epoch 37/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641826 | defect_dice=0.708510 | defect_iou=0.580429 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=8 | stage2_score=0.708510 | lr_encoder=1.250000e-06 | lr_decoder=6.250000e-06
epoch 38/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641956 | defect_dice=0.708373 | defect_iou=0.581302 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=16 | stage2_score=0.708373 | lr_encoder=1.250000e-06 | lr_decoder=6.250000e-06
epoch 39/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641590 | defect_dice=0.710193 | defect_iou=0.582209 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=8 | stage2_score=0.710193 | lr_encoder=1.250000e-06 | lr_decoder=6.250000e-06
epoch 40/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.641490 | defect_dice=0.710985 | defect_iou=0.584748 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=24 | stage2_score=0.710985 | lr_encoder=1.250000e-06 | lr_decoder=6.250000e-06
epoch 41/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.641359 | defect_dice=0.711838 | defect_iou=0.584907 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=0 | stage2_score=0.711838 | lr_encoder=1.250000e-06 | lr_decoder=6.250000e-06
epoch 42/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.641539 | defect_dice=0.714950 | defect_iou=0.588331 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=24 | stage2_score=0.714950 | lr_encoder=6.250000e-07 | lr_decoder=3.125000e-06
early stopping triggered, stage2 stopped early.
automatic validation export finished.
stage2 training finished.
stage2 fold=3 gpu=3 finished 2026-05-09T02:30:31+02:00
