threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,stage2_score
0.14,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.87237801721874,1.0,1.0,1.0,0.0,-1.7828126930023958
0.16,0,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.16,8,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.16,16,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.16,24,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.16,32,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.16,48,0.017189701188843207,0.008810950267736505,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.0088109502653165,1.0,0.017189701186463624,0.006884842342037665,1.0,0.013675530810501348,0.87237801721874,1.0,1.0,1.0,3.4812214298134676e-05,-1.782810298811157
0.18,0,0.019432485302331867,0.010020476943539526,1.0,1.0,59,59,24159640.0,409485.42372881353,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010020554640816828,0.9999546092683276,0.019432485299856635,0.0070761852694681635,0.9998423916541127,0.014052913841810283,0.87237801721874,1.0,0.7640777359545375,0.7805507062177531,0.0007124739045179947,-1.7805675146976683
0.18,8,0.0194372156344935,0.010023072444318923,1.0,1.0,59,59,24159630.0,409485.25423728814,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010023150248209973,0.9999546092683276,0.019437215632018084,0.007076468576313551,0.9998423916541127,0.014053472519498485,0.87237801721874,1.0,0.7792816184806922,0.7997946529858136,0.0007160277335008531,-1.7805627843655065
0.18,16,0.019443779113030774,0.010026669644070814,1.0,1.0,59,59,24159630.0,409485.25423728814,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010026747613457633,0.9999546092683276,0.019443779110555094,0.007076860323053611,0.9998423916541127,0.014054245038835496,0.87237801721874,1.0,0.7949994627973829,0.8160099276595293,0.0007215718820785443,-1.7805562208869692
0.18,24,0.01944898468027504,0.010029533068474185,1.0,1.0,59,59,24159613.0,409484.9661016949,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010029611170662879,0.9999546092683276,0.019448984677799167,0.007077163751005652,0.9998423916541127,0.014054843394289517,0.87237801721874,1.0,0.8087387592184072,0.8279342388741346,0.0007251654487369072,-1.780551015319725
0.18,32,0.019454528384319936,0.010032587859849527,1.0,1.0,59,59,24159613.0,409484.9661016949,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010032666092674447,0.9999546092683276,0.01945452838184384,0.007077493130049905,0.9998423916541127,0.014055492924507095,0.87237801721874,1.0,0.822311172038574,0.8409386904058586,0.0007292203553897041,-1.78054547161568
0.18,48,0.019465194827722514,0.010038466617657242,1.0,1.0,59,59,24159567.0,409484.18644067796,409600.0,409600.0,409484.18644067796,409600.0,409600.0,409600.0,0.010038545173932812,0.9999546092683276,0.019465194825246005,0.007078092552237846,0.9998423916541127,0.014056674974403141,0.87237801721874,1.0,0.8314273254965082,0.8509978512956371,0.0007355422369104602,-1.7805348051722776
0.2,0,0.02942672371878031,0.015771896615823948,1.0,1.0,59,59,23829563.0,403890.89830508473,409591.0,409600.0,403795.593220339,409591.0,409600.0,409600.0,0.01578115302707897,0.9990700002632579,0.029426723715881356,0.007599981149283634,0.9967690289093109,0.015084945381695058,0.87237801721874,1.0,0.5628292738258905,0.59181806811321,0.003386964338642582,-1.7705732762812196
0.2,8,0.02943714525745346,0.0157782504436297,1.0,1.0,59,59,23829390.0,403887.9661016949,409591.0,409600.0,403795.593220339,409591.0,409600.0,409600.0,0.01578752025982435,0.9990700002632579,0.02943714525455412,0.007600341992906751,0.9967690289093109,0.015085656188107461,0.87237801721874,1.0,0.6040252852746429,0.6364495825931966,0.0034057866837283925,-1.7705628547425465
0.2,16,0.02945109938636568,0.015786738211984033,1.0,1.0,59,59,23829157.0,403884.0169491525,409591.0,409600.0,403795.593220339,409591.0,409600.0,409600.0,0.015796026031631705,0.9990700002632579,0.02945109938346582,0.0076008287027633315,0.9967690289093109,0.015086614930822957,0.87237801721874,1.0,0.6291631836187029,0.6653034709184801,0.0034304881350784326,-1.7705489006136343
0.2,24,0.029461643442822507,0.01579303934036833,1.0,1.0,59,59,23828871.0,403879.16949152545,409591.0,409600.0,403795.593220339,409591.0,409600.0,409600.0,0.01580233682575403,0.9990700002632579,0.02946164343992222,0.007601249543138882,0.9967690289093109,0.015087443920156967,0.87237801721874,1.0,0.64438221176354,0.6836190991491989,0.0034496102396303426,-1.7705383565571775
0.2,32,0.02947173042443401,0.015799175363370926,1.0,1.0,59,59,23828601.0,403874.593220339,409591.0,409600.0,403795.593220339,409591.0,409600.0,409600.0,0.015808480760215782,0.9990700002632579,0.029471730421533348,0.007601614390378363,0.9967690289093109,0.015088162611259446,0.87237801721874,1.0,0.659687308110375,0.7000164060334559,0.00346347839578578,-1.770528269575566
