threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,stage2_score
0.22,32,0.07393631410219408,0.048809034640824776,1.0,1.0,59,59,21753238.0,368698.9491525424,405457.0,409600.0,366739.3728813559,405457.0,409600.0,409600.0,0.04917699741386868,0.9980106971362337,0.07393631409752459,0.009009888036542188,0.9930468451406064,0.017857753146151605,0.8702840363540515,1.0,0.4729968569358529,0.5265467865403007,0.012884455460203875,-1.726063685897806
0.22,48,0.0740190815346421,0.04888174961173901,1.0,1.0,59,59,21751286.0,368665.86440677964,405457.0,409600.0,366739.3728813559,405457.0,409600.0,409600.0,0.0492538551642367,0.9980106971362337,0.07401908152996967,0.009011822436607933,0.9930468451406064,0.01786155267990086,0.8702840363540515,1.0,0.49583014540539777,0.5566951837869649,0.012998077423671468,-1.7259809184653578
0.24,0,0.1197169371732959,0.08228751392659964,1.0,1.0,59,59,17808489.0,301838.7966101695,354297.0,403418.3,298982.9661016949,352681.0,403397.6,408067.0,0.08302542934156797,0.9960981166467702,0.11971693716493763,0.012202009259068941,0.9886535124989986,0.02410649499606774,0.8702840363540515,1.0,0.09749292039351003,0.1439294327554582,0.022874924968736856,-1.680283062826704
0.24,8,0.11984681538816755,0.08239897761759055,1.0,1.0,59,59,17805566.0,301789.25423728814,354263.0,403417.4,298982.9661016949,352681.0,403397.6,408067.0,0.08313971504497027,0.9960951859137458,0.11984681537980024,0.012205482249226823,0.9886443186788217,0.024113269885739426,0.8702840363540515,1.0,0.14851815612403016,0.20984530151086697,0.02306553862244284,-1.6801531846118325
0.24,16,0.12003286880821969,0.08256324869821967,1.0,1.0,59,59,17802047.0,301729.6101694915,354185.0,403417.4,298982.9661016949,352681.0,403397.6,408067.0,0.08330587963162235,0.9960951859137458,0.12003286879984117,0.012209856638260293,0.9886443186788217,0.02412180654284555,0.8702840363540515,1.0,0.18787606473078106,0.2581690163051514,0.023312118048072407,-1.6799671311917803
0.24,24,0.12016439142163204,0.08266841452202435,1.0,1.0,59,59,17799278.0,301682.6779661017,354088.0,403397.6,298982.9661016949,352681.0,403397.6,408067.0,0.0834121114609385,0.9960839552585494,0.12016439141324214,0.01221329582663567,0.9886206774269387,0.024128511054620192,0.8702840363540515,1.0,0.2081050772382554,0.28590466847601137,0.023432746299281274,-1.679835608578368
0.24,32,0.12029420303408578,0.08277659439660284,1.0,1.0,59,59,17796333.0,301632.76271186443,353999.0,403397.6,298982.9661016949,352681.0,403397.6,408067.0,0.08352185463084531,0.9960805341268605,0.1202942030256857,0.012216623246072101,0.9885996629808204,0.024134998181059797,0.8702840363540515,1.0,0.22918639449819656,0.3135226570075759,0.023597004276004384,-1.6797057969659144
0.24,48,0.12047394788323658,0.08293029391848958,1.0,1.0,59,59,17792008.0,301559.4576271186,353928.0,403397.6,298982.9661016949,352681.0,403397.6,408067.0,0.08367874204562949,0.9960638580660128,0.12047394787482338,0.012221407654037295,0.9885471268655246,0.024144319102620118,0.8702840363540515,1.0,0.27509439421886045,0.3627659816109194,0.02378842573950413,-1.6795260521167634
0.26,0,0.22936180669399067,0.15923156646857328,1.0,1.0,59,59,10419993.0,176610.05084745763,154180.0,367737.8,155615.7627118644,140987.0,367711.39999999997,394826.0,0.16067057319768047,0.9912274349607776,0.22936180665679406,0.021790355341249127,0.9809490911908755,0.042633665889277,0.8702840363540515,1.0,0.0639931944362212,0.10983010939518528,0.048867858580082635,-1.5706381933060094
0.26,8,0.22996548297347108,0.15971319678021179,1.0,1.0,59,59,10414706.0,176520.4406779661,154023.0,367723.0,155615.7627118644,140987.0,367711.39999999997,394826.0,0.1611598794708902,0.9912228361261233,0.22996548293610616,0.021804418338546214,0.9809359571620516,0.04266056996579145,0.8702840363540515,1.0,0.12168739119002889,0.18535384506596764,0.049386786818322856,-1.5700345170265289
0.26,16,0.23052183150386754,0.1601469134435141,1.0,1.0,59,59,10408103.0,176408.5254237288,153848.0,367711.39999999997,155615.7627118644,140987.0,367711.39999999997,394826.0,0.16159950542018328,0.9912147250973703,0.23052183146632702,0.021821256679035162,0.9809188829245805,0.0426927812704717,0.8702840363540515,1.0,0.1553973684691093,0.22620766038731513,0.049849130013158785,-1.5694781684961325
0.26,24,0.23101858754183785,0.1605418938749998,1.0,1.0,59,59,10401855.0,176302.62711864407,153601.0,367711.39999999997,155615.7627118644,140987.0,367711.39999999997,394826.0,0.16200483716671943,0.9912068039684677,0.23101858750416224,0.021836267552973708,0.980893928269815,0.042721486493606,0.8702840363540515,1.0,0.17966469008832464,0.2535129028894731,0.0501884865234205,-1.5689814124581623
0.26,32,0.23151160238611262,0.16093934348845257,1.0,1.0,59,59,10395960.0,176202.71186440677,153519.0,367711.39999999997,155615.7627118644,140987.0,367711.39999999997,394826.0,0.1624119552636625,0.9912068039684677,0.23151160234829882,0.021851483678331427,0.980893928269815,0.04275060729945408,0.8702840363540515,1.0,0.19865833954662643,0.27480270837876375,0.05062026550813727,-1.5684883976138875
0.26,48,0.23249632900101916,0.16173484282502312,1.0,1.0,59,59,10385778.0,176030.13559322033,153101.0,367711.39999999997,155615.7627118644,140987.0,367711.39999999997,394826.0,0.1632253417576968,0.9910922165290844,0.2324963289628581,0.021877383838585052,0.9808610931977552,0.042800142050286066,0.8702840363540515,1.0,0.23447263320926207,0.31259784189674067,0.051393840035870275,-1.567503670998981
