threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.2,0,0.08107529935244358,0.059040125879723765,1.0,1.0,59,59,23265296.0,394327.0508474576,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.7189247006475565
0.2,8,0.08115102841767417,0.059126799714670185,1.0,1.0,59,59,23264726.0,394317.3898305085,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.7188489715823259
0.2,16,0.0812222199619461,0.05920736930454077,1.0,1.0,59,59,23264196.0,394308.406779661,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.718777780038054
0.2,24,0.08126466134205422,0.05925223701751455,1.0,1.0,59,59,23263481.0,394296.28813559323,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.7187353386579458
0.2,32,0.08131499665507665,0.059308841908411375,1.0,1.0,59,59,23263084.0,394289.5593220339,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.7186850033449235
0.2,48,0.08138931976069978,0.059384292640062473,1.0,1.0,59,59,23262353.0,394277.16949152545,409228.0,409600.0,394042.5593220339,409228.0,409600.0,409600.0,-1.7186106802393002
0.22,0,0.11615243599898951,0.08591689767752898,1.0,1.0,59,59,18989888.0,321862.5084745763,378120.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6838475640010104
0.22,8,0.11634064944283873,0.08610586005652024,1.0,1.0,59,59,18985783.0,321792.9322033898,378081.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6836593505571613
0.22,16,0.11647597117787765,0.08623048002396456,1.0,1.0,59,59,18980165.0,321697.71186440677,378020.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6835240288221225
0.22,24,0.11665316914538171,0.08639929804718059,1.0,1.0,59,59,18974815.0,321607.0338983051,378020.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6833468308546182
0.22,32,0.11670977388792393,0.08645558198335837,1.0,1.0,59,59,18970304.0,321530.57627118647,377963.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6832902261120761
0.22,48,0.11694801500935531,0.08669531993918726,1.0,1.0,59,59,18963265.0,321411.27118644066,377963.0,409334.3,316152.77966101695,370964.0,409334.3,409486.0,-1.6830519849906447
0.24,0,0.1571720725405059,0.11520296545534131,1.0,1.0,59,59,15446841.0,261810.86440677967,289983.0,396917.39999999997,254262.42372881356,276196.0,396874.5,403708.0,-1.6428279274594941
0.24,8,0.157294513973372,0.11531334545473013,1.0,1.0,59,59,15442708.0,261740.81355932204,289971.0,396916.1,254262.42372881356,276196.0,396874.5,403708.0,-1.6427054860266281
0.24,16,0.15741050096898168,0.11540324867381677,1.0,1.0,59,59,15437646.0,261655.01694915254,289971.0,396915.0,254262.42372881356,276196.0,396874.5,403708.0,-1.6425894990310184
0.24,24,0.15752648637476296,0.11549343064852678,1.0,1.0,59,59,15433030.0,261576.77966101695,289971.0,396899.7,254262.42372881356,276196.0,396874.5,403708.0,-1.642473513625237
0.24,32,0.1576387591989562,0.11558578713826813,1.0,1.0,59,59,15429120.0,261510.50847457626,289915.0,396874.5,254262.42372881356,276196.0,396874.5,403708.0,-1.6423612408010437
0.24,48,0.15782740036568807,0.11574276459296716,1.0,1.0,59,59,15420728.0,261368.2711864407,289872.0,396874.5,254262.42372881356,276196.0,396874.5,403708.0,-1.642172599634312
0.26,0,0.25187571087302113,0.18420065844323502,1.0,1.0,59,59,9470212.0,160512.06779661018,168975.0,339606.8,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.5481242891269789
0.26,8,0.25223841856589424,0.18449842459129184,1.0,1.0,59,59,9465271.0,160428.3220338983,168885.0,339576.39999999997,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.5477615814341057
0.26,16,0.25257230956371907,0.1847689855549262,1.0,1.0,59,59,9458929.0,160320.83050847458,168754.0,339526.0,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.547427690436281
0.26,24,0.2528776245492262,0.18500385797410188,1.0,1.0,59,59,9453760.0,160233.22033898305,168657.0,339526.0,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.547122375450774
0.26,32,0.2531622748950125,0.18522507207763272,1.0,1.0,59,59,9448822.0,160149.5254237288,168551.0,339476.5,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.5468377251049876
0.26,48,0.2536086089127989,0.18559713915330583,1.0,1.0,59,59,9440971.0,160016.45762711865,168407.0,339437.8,139581.25423728814,142518.0,313431.0999999999,346272.0,-1.5463913910872011
0.28,0,0.29745546956996416,0.21885874186571372,1.0,1.0,59,59,6300839.0,106793.8813559322,98945.0,259931.79999999993,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.5025445304300358
0.28,8,0.2985085253481675,0.21971555815095578,1.0,1.0,59,59,6297519.0,106737.61016949153,98902.0,259843.59999999992,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.5014914746518326
0.28,16,0.29957933523023866,0.22056985307323793,1.0,1.0,59,59,6294416.0,106685.01694915254,98842.0,259733.3999999999,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.5004206647697613
0.28,24,0.3005110309826399,0.22133795796417102,1.0,1.0,59,59,6291759.0,106639.98305084746,98825.0,259622.59999999992,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.49948896901736
0.28,32,0.30140002237762054,0.22205993753727726,1.0,1.0,59,59,6289601.0,106603.40677966102,98825.0,259595.59999999992,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.4985999776223795
0.28,48,0.3029084242617542,0.22325201403851028,1.0,1.0,59,59,6285285.0,106530.25423728813,98788.0,259526.79999999993,101961.77966101695,91420.0,258194.49999999994,294746.0,-1.497091575738246
0.3,0,0.3505047884061682,0.25863504865467907,1.0,1.0,59,59,5043728.0,85486.91525423729,39800.0,257832.09999999992,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.4494952115938318
0.3,8,0.3536088255813135,0.26117982705323617,1.0,1.0,59,59,5040750.0,85436.44067796611,39782.0,257813.8999999999,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.4463911744186866
0.3,16,0.3559436129039762,0.2631051807909154,1.0,1.0,59,59,5038322.0,85395.28813559322,39774.0,257813.8999999999,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.444056387096024
0.3,24,0.3583992642208178,0.26506561734512496,1.0,1.0,59,59,5036488.0,85364.20338983051,39774.0,257813.8999999999,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.4416007357791822
0.3,32,0.3599815595018919,0.26641251505048247,1.0,1.0,59,59,5034736.0,85334.50847457627,39774.0,257813.8999999999,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.440018440498108
0.3,48,0.36374580809365925,0.269626883053033,1.0,1.0,59,59,5031218.0,85274.8813559322,39774.0,257813.8999999999,84010.35593220338,38468.0,257265.19999999995,293924.0,-1.4362541919063407
0.32,0,0.41025685495614755,0.3085336166910351,1.0,1.0,59,59,4602989.0,78016.7627118644,25752.0,255146.79999999993,75675.84745762713,18851.0,254688.59999999995,291803.0,-1.3897431450438524
0.32,8,0.4139388278464053,0.3118065156671814,1.0,1.0,59,59,4600704.0,77978.03389830509,25722.0,255143.79999999993,75675.84745762713,18851.0,254688.59999999995,291803.0,-1.3860611721535947
0.32,16,0.41760916098061274,0.3150138219587779,1.0,0.9661016949152542,59,57,4598515.0,77940.93220338984,25707.0,255143.79999999993,75675.35593220338,18851.0,254688.59999999995,291803.0,-1.3145942288498957
0.32,24,0.4204198853928558,0.3174527043355947,1.0,0.8813559322033898,59,52,4596760.0,77911.18644067796,25687.0,255143.79999999993,75673.66101694915,18851.0,254688.59999999995,291803.0,-1.1422919790139239
0.32,32,0.4224721191917785,0.31919523596304444,1.0,0.8813559322033898,59,52,4595166.0,77884.16949152542,25656.0,255143.79999999993,75673.66101694915,18851.0,254688.59999999995,291803.0,-1.140239745215001
0.32,48,0.42750193900476746,0.32357849430785,1.0,0.8135593220338984,59,48,4592082.0,77831.89830508475,25485.0,255143.79999999993,75670.93220338984,18851.0,254688.59999999995,291803.0,-0.9996167050630294
0.34,0,0.5000049518259565,0.3794306528480023,1.0,0.9830508474576272,59,58,2329000.0,39474.57627118644,374.0,204848.4,37901.1186440678,141.0,196792.4,229816.0,-1.2660967430892978
0.34,8,0.5024110924946416,0.3816638979229038,1.0,0.7966101694915254,59,47,2326696.0,39435.52542372881,331.0,204760.49999999997,37900.372881355936,141.0,196792.4,229816.0,-0.8908092464884093
0.34,16,0.5042605985211371,0.3832986416850404,1.0,0.6779661016949152,59,40,2324068.0,39390.983050847455,267.0,204677.59999999998,37899.186440677964,141.0,196792.4,229816.0,-0.6516716048686934
0.34,24,0.5059985544155987,0.3848406395011813,1.0,0.6440677966101694,59,38,2322132.0,39358.16949152543,267.0,204583.99999999997,37898.59322033898,141.0,196792.4,229816.0,-0.5821370388047402
0.34,32,0.5077806679595674,0.38647196003010853,1.0,0.5932203389830508,59,35,2320289.0,39326.93220338983,236.0,204506.9,37897.20338983051,141.0,196792.4,229816.0,-0.47866001000653424
0.34,48,0.5097348090841417,0.3881064890286946,1.0,0.559322033898305,59,33,2317133.0,39273.4406779661,198.0,204448.8,37895.779661016946,141.0,196792.4,229816.0,-0.4089092587124684
